direction,target,target_size,op,items
Mi_EQUALS_GT,M3 == Biology,1000,EQUALS,M3 + Biology
Mi_EQUALS_GT,M4 == Astronomy,1000,EQUALS,M4 + Astronomy
Mi_EQUALS_GT_COMBO,M0,2000,UNION,Motor Racing + Sport
Mi_EQUALS_GT_COMBO,M1,2000,UNION,Soccer + Sport
Mi_EQUALS_GT_COMBO,M10,2000,UNION,Commercial Banks + Insurance Agencies
Mi_EQUALS_GT_COMBO,M11,2000,UNION,Building Societies + Commercial Banks
Mi_EQUALS_GT_COMBO,M2,2000,UNION,Motor Racing + Soccer
Mi_EQUALS_GT_COMBO,M5,2000,UNION,C + Visual Basic
Mi_EQUALS_GT_COMBO,M6,2000,UNION,Java + Visual Basic
Mi_EQUALS_GT_COMBO,M7,2000,UNION,C + Java
Mi_EQUALS_GT_COMBO,M9,2000,UNION,Building Societies + Insurance Agencies
GT_EQUALS_MI_COMBO,Building Societies,1000,INTERSECTION,M9 + M11
GT_EQUALS_MI_COMBO,C,1000,INTERSECTION,M5 + M7
GT_EQUALS_MI_COMBO,Commercial Banks,1000,INTERSECTION,M10 + M11
GT_EQUALS_MI_COMBO,Insurance Agencies,1000,INTERSECTION,M9 + M10
GT_EQUALS_MI_COMBO,Java,1000,INTERSECTION,M6 + M7
GT_EQUALS_MI_COMBO,Motor Racing,1000,INTERSECTION,M0 + M2
GT_EQUALS_MI_COMBO,Soccer,1000,INTERSECTION,M1 + M2
GT_EQUALS_MI_COMBO,Sport,1000,INTERSECTION,M0 + M1
GT_EQUALS_MI_COMBO,Visual Basic,1000,INTERSECTION,M5 + M6
